region,country,vintage,producer,wine_variety,grape_variety,rating,rating_qty,log_price,log_rating_qty,rating * log_rating_qty
192.0,10.0,30.0,5562.0,0.0,122.0,3.7,66.0,2.3969857684155302,4.189654742026425,15.501722545497774
174.0,5.0,29.0,2647.0,2.0,122.0,3.9,280.0,2.847812143477369,5.634789603169249,21.975679452360072
158.0,5.0,26.0,2654.0,0.0,122.0,4.3,257.0,5.423892189456104,5.549076084895219,23.861027165049443
158.0,4.0,33.0,1072.0,0.0,54.0,3.4,101.0,2.0781907597781832,4.61512051684126,15.691409757260285
201.0,1.0,22.0,587.0,0.0,108.0,3.4,49.0,2.196112848483529,3.8918202981106265,13.23218901357613
127.0,5.0,29.0,1863.0,0.0,51.0,3.9,176.0,4.106931677727572,5.170483995038151,20.16488758064879
192.0,10.0,25.0,998.0,3.0,122.0,4.1,1937.0,3.636796374243711,7.5688956634069955,31.03247221996868
158.0,10.0,31.0,4197.0,1.0,8.0,3.5,117.0,1.62924053973028,4.762173934797756,16.667608771792146
133.0,0.0,30.0,4293.0,0.0,11.0,3.8,653.0,2.3969857684155302,6.481577129276431,24.62999309125044
38.0,20.0,27.0,4822.0,0.0,54.0,3.7,170.0,2.497329169786558,5.135798437050262,19.00245421708597
178.0,18.0,31.0,935.0,3.0,91.0,3.6,137.0,2.3832429960115,4.919980925828125,17.71193133298125
232.0,10.0,27.0,5709.0,2.0,122.0,3.9,157.0,3.3203487937988347,5.056245805348308,19.7193586408584
133.0,0.0,30.0,2430.0,2.0,49.0,3.4,641.0,2.4932054526026954,6.46302945692067,21.97430015353028
38.0,20.0,30.0,6258.0,2.0,131.0,4.2,3391.0,3.732178378509084,8.128880142125638,34.14129659692768
30.0,5.0,29.0,1987.0,0.0,122.0,3.5,130.0,3.0440461338325417,4.867534450455582,17.03637057659454
31.0,5.0,29.0,290.0,0.0,122.0,4.0,34.0,3.295466427029913,3.5263605246161616,14.105442098464646
182.0,10.0,28.0,4352.0,1.0,57.0,3.9,146.0,2.449279472144849,4.983606621708336,19.43606582466251
158.0,10.0,29.0,5745.0,2.0,8.0,3.4,95.0,2.134166441369082,4.553876891600541,15.48318143144184
210.0,10.0,24.0,3530.0,1.0,122.0,4.2,55.0,3.4506222649896783,4.007333185232471,16.83079937797638
62.0,4.0,31.0,1101.0,2.0,17.0,4.1,167.0,2.6878474937846906,5.117993812416755,20.98377463090869
130.0,1.0,27.0,2433.0,1.0,122.0,4.0,40.0,3.9523968995664194,3.688879454113936,14.755517816455743
3.0,14.0,27.0,4736.0,2.0,122.0,3.9,671.0,2.87751164216656,6.508769136971681,25.38419963418956
158.0,4.0,30.0,134.0,1.0,122.0,4.6,391.0,5.238514282177283,5.968707559985366,27.45605477593268
187.0,5.0,18.0,1403.0,0.0,122.0,4.2,48.0,5.274229571018947,3.871201010907891,16.259044245813143
61.0,17.0,30.0,4416.0,1.0,17.0,3.5,408.0,1.8656293177945105,6.0112671744041615,21.03943511041457
92.0,5.0,30.0,6215.0,0.0,122.0,3.8,68.0,3.212857752542638,4.219507705176107,16.034129279669205
32.0,10.0,23.0,433.0,2.0,122.0,4.2,146.0,4.380525508547614,4.983606621708336,20.931147811175013
163.0,5.0,31.0,4220.0,0.0,58.0,4.2,25.0,1.81319474994812,3.218875824868201,13.519278464446442
38.0,20.0,23.0,5927.0,0.0,131.0,3.5,125.0,2.3015845926604626,4.8283137373023015,16.899098080558055
3.0,14.0,32.0,3049.0,3.0,122.0,3.5,272.0,1.8213182714695997,5.605802066295998,19.62030723203599
166.0,6.0,28.0,5786.0,0.0,122.0,4.1,71.0,3.466048353981772,4.262679877041316,17.47698749586939
158.0,8.0,30.0,3672.0,0.0,122.0,3.6,64.0,2.3331142980288684,4.158883083359672,14.971979100094815
