name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Rapido Sangiovese 2019,Puglia,Italy,2019,Rapido,Red,Sangiovese,7.35,3.5,,1.9947003132247452,5
Domenico Clerico Arte Rosso 2012,Langhe,Italy,2012,Domenico Clerico,Rose,Unknown,29.36,3.9,,3.379633203746315,12
Caliterra Edicion Limitada A 2015,Colchagua Valley,Chile,2015,Caliterra,Red,Unknown,17.34,3.9,,2.853015971352396,9
Coto De Gomariz Maria Alvarez Serrano Abadia De Gomariz 2015,Other,Spain,2015,Coto De Gomariz Maria Alvarez Serrano,Red,Unknown,14.44,3.8,,2.67000213346468,9
Frederic Magnien Pinot Noir Bourgogne 2009,Bourgogne,France,2009,Frederic Magnien,Red,Pinot Noir,28.95,3.7,,3.3655702040190043,15
Foradori Foradori Teroldego 2016,Vigneti Delle Dolomiti,Italy,2016,Foradori,Red,Teroldego,20.29,3.8,,3.010128153837724,8
Robert Hall Merlot 2018,Paso Robles,United States,2018,Robert Hall,Red,Merlot,14.99,3.6,,2.7073833121145063,6
La Playa Estate Dry Rose Of Cabernet Sauvignon 2020,Colchagua Valley,Chile,2020,La Playa,Rose,Rose,10.99,3.6,12.5,2.3969857684155302,4
Mas De Daumas Gassac Rouge 2017,Other,France,2017,Mas De Daumas Gassac,Sparkling,Unknown,36.78,4.1,,3.604954219176175,7
Bear Flag Cabernet Sauvignon 2016,California,United States,2016,Bear Flag,Red,Cabernet Sauvignon,27.99,4.0,,3.331847303527362,8
Bibi Graetz Le Cicale Di Vincigliata Chianti 2013,Chianti,Italy,2013,Bibi Graetz,White,Chianti,13.64,3.4,,2.613006652415316,11
Emilio Moro Finca Resalso 2018,Ribera Del Duero,Spain,2018,Emilio Moro,Rose,Unknown,8.79,3.9,,2.173614711697085,6
Chateau Malbec Bordeaux 2017,Bordeaux,France,2017,Chateau Malbec,Red,Malbec,11.66,3.8,,2.4561641809223462,7
Domaine De La Croix Iirresistible Cotes De Provence 2016,Cotes De Provence,France,2016,Domaine De La Croix,White,Unknown,14.65,3.7,,2.6844403354630764,8
Reyneke Capstone 2013,Stellenbosch,South Africa,2013,Reyneke,Red,Unknown,24.99,3.9,,3.2184757448468613,11
Domaine Bousquet Reserve Malbec 2018,Tupungato,Argentina,2018,Domaine Bousquet,Rose,Malbec,12.43,3.9,,2.52011290552262,6
Meerlust Rubicon 2016,Stellenbosch,South Africa,2016,Meerlust,White,Unknown,29.19,4.3,,3.373826184866024,8
Chateau Latour A Pomerol Pomerol 2015,Pomerol,France,2015,Chateau Latour A Pomerol,Red,Pomerol,119.29,4.1,,4.781557503293855,9
Domaine Gouron Chinon Rouge 2017,Chinon,France,2017,Domaine Gouron,Red,Unknown,18.99,3.4,,2.9439125248241944,7
Castano Picarios 2016,Yecla,Spain,2016,Castano,Red,Unknown,19.04,3.3,,2.946542029363219,8
Don Sebastian Crianza 2014,Rioja,Spain,2014,Don Sebastian,Rose,Unknown,25.39,3.2,,3.234355395716587,10
Quinta Do Portal Colheita Red 2017,Douro,Portugal,2017,Quinta Do Portal,White,Port,13.56,3.9,,2.6071242825122494,7
689 Six Eight Nine Devils Candy Red Blend 2017,Napa Valley,United States,2017,689 Six Eight Nine,Sparkling,Red Blend,41.77,4.4,,3.732178378509084,7
Senorio De Los Llanos Reserva 2013,Valdepenas,Spain,2013,Senorio De Los Llanos,Sparkling,Unknown,5.37,3.3,,1.6808279085207734,11
Hacienda La Lomita Tinto De La Hacienda 2016,Other,Other,2016,Hacienda La Lomita,Red,Unknown,26.99,4.1,,3.295466427029913,8
Heger Vitus Spatburgunder 2015,Baden,Germany,2015,Heger,Sparkling,Unknown,17.29,3.8,,2.850128299695199,9
Hayes Ranch Red Blend 2014,California,United States,2014,Hayes Ranch,Red,Red Blend,7.7,3.5,,2.0412203288596382,10
Apaltagua Pinot Noir Reserva 2018,Other,Chile,2018,Apaltagua,Rose,Pinot Noir,11.39,3.5,,2.4327357774590905,6
Haras De Pirque Albis 2016,Maipo Valley,Chile,2016,Haras De Pirque,Sparkling,Unknown,53.16,4.3,,3.9733062338450447,8
Kendalljackson Grand Reserve Pinot Noir 2012,Monterey County,United States,2012,Kendalljackson,Red,Pinot Noir,20.91,3.8,,3.0402275134405423,12
Alpasion Grand Malbec 2018,Mendoza,Argentina,2018,Alpasion,Red,Malbec,27.95,4.2,,3.3304171996011083,6
Vergelegen Reserve Cabernet Sauvignon 2013,Stellenbosch,South Africa,2013,Vergelegen,Rose,Cabernet Sauvignon,28.75,4.3,,3.3586377672433594,11
Palacios Remondo La Montesa 2017,Rioja,Spain,2017,Palacios Remondo,Red,Unknown,17.99,3.9,,2.8898160479624413,7
Bodega Sommos Glarima Merlot Tempranilllo 2018,Somontano,Spain,2018,Bodega Sommos,Sparkling,Merlot,7.0,3.5,,1.9459101490553128,6
Fusser Deidesheimer Spatburgunder 2016,Pfalz,Germany,2016,Fusser,Sparkling,Unknown,15.54,3.7,,2.7434173449395014,8
Bodegas Valdemar Inspiracion Balcon De Pilatos Maturana 2016,Rioja,Spain,2016,Bodegas Valdemar,Rose,Unknown,28.2,4.1,,3.339321977944068,8
Chateau Leoville Poyferre Saintjulien Grand Cru Classe 2010,Saintjulien,France,2010,Chateau Leoville Poyferre,Red,Unknown,205.06,4.4,,5.323302619241945,14
Domaine Joannet Bourgogne Hautescotes De Nuits Rouge 2011,Other,France,2011,Domaine Joannet,Rose,Unknown,15.75,3.4,,2.7568403652716422,13
Arrayan Seleccion 2016,Other,Spain,2016,Arrayan,Sparkling,Unknown,10.74,3.7,,2.3739750890807185,8
Chateau Quinault Lenclos Saintemilion Grand Cru Grand Cru Classe 2008,Saintemilion Grand Cru,France,2008,Chateau Quinault Lenclos,Rose,Unknown,37.92,3.9,,3.635478677386821,16
Miguel Torres Cordillera Vigno Old Vines Carignan 2016,Maule Valley,Chile,2016,Miguel Torres,Red,Carignan,16.42,3.8,,2.7985001040242823,8
Iona Pinot Noir 2017,Elgin,South Africa,2017,Iona,Rose,Pinot Noir,21.59,3.7,,3.072230244526716,7
Matsu El Picaro 2020,Toro,Spain,2020,Matsu,Red,Unknown,15.99,3.8,,2.771963526845863,4
Santa Rita 120 Merlot 2018,Central Valley,Chile,2018,Santa Rita,Red,Merlot,6.87,3.4,,1.9271641062342584,6
Castano Hecula Monastrell 2019,Yecla,Spain,2019,Castano,Red,Monastrell,15.99,3.5,,2.771963526845863,5
Chateau Certan De May Pomerol 2012,Pomerol,France,2012,Chateau Certan De May,White,Pomerol,103.65,4.3,,4.641019838881789,12
Chateau Pichon Baron Pauillac Grand Cru Classe 2007,Pauillac,France,2007,Chateau Pichon Baron,Sparkling,Unknown,129.11,4.4,,4.860664754186627,17
Zenato Cresasso Corvina Veronese 2013,Veneto,Italy,2013,Zenato,Red,Corvina,29.4,4.2,,3.380994674344636,11
