region,country,vintage,producer,wine_variety,grape_variety,rating,rating_qty,log_price,log_rating_qty,rating * log_rating_qty
172.0,10.0,30.0,3021.0,1.0,121.0,4.1,347.0,2.3739750890807185,5.849324779946859,23.98223159778212
163.0,5.0,28.0,2827.0,3.0,53.0,3.2,44.0,1.8656293177945105,3.784189633918261,12.109406828538436
178.0,18.0,31.0,4499.0,0.0,113.0,3.6,226.0,2.484072969039423,5.420534999272286,19.51392599738023
2.0,6.0,30.0,3787.0,2.0,121.0,3.5,110.0,2.598979106047848,4.700480365792417,16.45168128027346
162.0,5.0,28.0,1425.0,2.0,121.0,4.0,509.0,4.462223176668158,6.2324480165505225,24.92979206620209
172.0,10.0,29.0,4557.0,2.0,121.0,3.8,720.0,2.470638677990296,6.579251212010101,25.001154605638384
185.0,20.0,28.0,2481.0,0.0,130.0,3.4,119.0,2.995732273553991,4.77912349311153,16.2490198765792
190.0,5.0,25.0,1553.0,2.0,121.0,3.9,572.0,3.2782761681496484,6.349138991379798,24.76164206638121
63.0,4.0,28.0,4747.0,3.0,53.0,3.8,837.0,2.8599125504114564,6.729824070489475,25.573331467860005
162.0,5.0,29.0,1626.0,3.0,121.0,3.8,162.0,4.389622711295509,5.087596335232384,19.332866073883057
196.0,10.0,31.0,4766.0,0.0,63.0,3.9,225.0,2.8898160479624413,5.41610040220442,21.12279156859724
158.0,10.0,29.0,4002.0,0.0,102.0,4.9,24.0,3.54066942694875,3.1780538303479458,15.572463768704935
163.0,5.0,30.0,457.0,0.0,16.0,3.3,279.0,2.254444717666111,5.631211781821365,18.582998880010503
145.0,5.0,30.0,3845.0,0.0,121.0,3.6,63.0,2.6741486494265287,4.143134726391533,14.915285015009518
178.0,18.0,28.0,166.0,2.0,121.0,3.8,6662.0,3.410157123033627,8.804175018753625,33.45586507126377
85.0,14.0,29.0,2115.0,0.0,121.0,3.8,273.0,2.807593831438472,5.60947179518496,21.31599282170285
5.0,20.0,28.0,110.0,0.0,53.0,3.7,336.0,2.8898160479624413,5.817111159963204,21.523311291863852
187.0,5.0,27.0,1322.0,3.0,121.0,3.9,184.0,3.6936182084611096,5.214935757608986,20.338249454675044
109.0,18.0,31.0,6665.0,0.0,121.0,3.4,28.0,1.4350845252893227,3.332204510175204,11.329495334595691
209.0,10.0,24.0,412.0,1.0,121.0,4.2,45.0,4.088829381533991,3.80666248977032,15.987982457035343
158.0,10.0,31.0,2290.0,2.0,102.0,3.7,177.0,1.786746927404511,5.176149732573829,19.151754010523167
158.0,5.0,29.0,5225.0,2.0,121.0,3.6,36.0,2.005525858729668,3.58351893845611,12.900668178441997
39.0,20.0,25.0,3280.0,0.0,121.0,3.5,1006.0,2.3969857684155302,6.913737350659685,24.19808072730889
29.0,10.0,30.0,4970.0,2.0,121.0,4.6,70.0,5.339075359020204,4.248495242049359,19.54307811342705
241.0,0.0,31.0,6022.0,0.0,48.0,4.8,25.0,4.590766955677348,3.218875824868201,15.450603959367362
82.0,10.0,31.0,4243.0,0.0,121.0,3.8,732.0,3.2577118486533987,6.595780513961311,25.063965953052985
214.0,0.0,31.0,2537.0,3.0,48.0,3.9,720.0,2.52011290552262,6.579251212010101,25.659079726839398
158.0,20.0,24.0,2926.0,0.0,6.0,4.2,27.0,3.263084079532521,3.295836866004329,13.842514837218182
158.0,0.0,30.0,3185.0,0.0,48.0,3.9,121.0,3.295466427029913,4.795790545596741,18.70358312782729
209.0,10.0,30.0,3213.0,2.0,63.0,3.7,122.0,2.2202898502672155,4.804021044733257,17.77487786551305
221.0,18.0,32.0,5539.0,0.0,11.0,3.5,138.0,1.9329696377795784,4.927253685157205,17.245387898050218
67.0,5.0,28.0,1430.0,3.0,121.0,3.8,788.0,3.2965773325320527,6.669498089857879,25.34409274145994
239.0,20.0,28.0,5506.0,1.0,76.0,4.0,504.0,4.000217016164062,6.222576268071369,24.890305072285475
36.0,5.0,29.0,1550.0,0.0,121.0,3.8,74.0,3.295466427029913,4.30406509320417,16.355447354175848
221.0,18.0,29.0,2456.0,0.0,121.0,4.0,380.0,2.470638677990296,5.940171252720432,23.760685010881726
131.0,5.0,27.0,1811.0,2.0,121.0,3.6,346.0,2.747270914255491,5.846438775057724,21.047179590207808
149.0,20.0,27.0,6394.0,1.0,53.0,3.9,170.0,4.524827433305553,5.135798437050262,20.02961390449602
216.0,10.0,29.0,250.0,0.0,75.0,4.2,242.0,4.106931677727572,5.488937726156687,23.053538449858085
21.0,1.0,32.0,3614.0,0.0,57.0,3.9,43.0,3.331847303527362,3.7612001156935615,14.668680451204892
136.0,2.0,28.0,6745.0,0.0,76.0,3.6,47.0,2.8320361808832013,3.8501476017100575,13.860531366156213
99.0,5.0,28.0,2642.0,3.0,38.0,4.0,534.0,3.1236856378644515,6.280395838960195,25.12158335584078
190.0,5.0,25.0,1816.0,1.0,121.0,4.2,829.0,4.4927850553933,6.720220155135295,28.22492465156824
237.0,17.0,30.0,2504.0,0.0,77.0,4.1,1179.0,2.9952321485123083,7.072421900537371,28.99692979220322
203.0,17.0,30.0,5433.0,0.0,15.0,4.0,59.0,2.91180703861623,4.07753744390572,16.31014977562288
178.0,18.0,27.0,5439.0,2.0,121.0,4.3,243.0,3.700560958887774,5.493061443340549,23.62016420636436
178.0,18.0,29.0,2968.0,2.0,91.0,3.8,65.0,2.122261538862764,4.174387269895637,15.86267162560342
230.0,10.0,25.0,127.0,0.0,23.0,4.2,417.0,4.223177434065069,6.0330862217988015,25.33896213155497
201.0,1.0,31.0,8.0,2.0,121.0,4.0,1274.0,2.523325759691945,7.149916836132109,28.599667344528434
107.0,18.0,31.0,4341.0,0.0,121.0,3.4,114.0,1.366091653802371,4.736198448394496,16.103074724541283
161.0,20.0,29.0,1196.0,0.0,53.0,3.5,32.0,2.7073833121145063,3.4657359027997265,12.130075659799044
152.0,2.0,31.0,3895.0,2.0,9.0,3.8,45.0,2.3331142980288684,3.80666248977032,14.465317461127214
159.0,17.0,29.0,3416.0,1.0,82.0,3.8,52.0,2.9090844668283187,3.951243718581428,15.014726130609423
39.0,20.0,31.0,6792.0,0.0,82.0,3.7,108.0,1.958685340544036,4.68213122712422,17.323885540359615
20.0,1.0,29.0,3465.0,0.0,53.0,3.8,324.0,2.9003220887493324,5.780743515792329,21.966825360010848
238.0,17.0,32.0,4905.0,0.0,77.0,3.7,31.0,1.8082887711792657,3.4339872044851463,12.705752656595042
129.0,4.0,32.0,4917.0,0.0,18.0,3.7,231.0,2.300583090323373,5.442417710521794,20.13694552893064
140.0,10.0,24.0,4875.0,1.0,56.0,3.8,51.0,2.0719132752590443,3.9318256327243257,14.940937404352438
63.0,4.0,30.0,3003.0,1.0,16.0,3.9,331.0,2.4327357774590905,5.802118375377063,22.628261663970545
0.0,4.0,26.0,3033.0,2.0,110.0,4.1,171.0,4.340292766189574,5.14166355650266,21.080820581660905
99.0,5.0,25.0,1513.0,1.0,38.0,4.3,76.0,4.399006654708566,4.330733340286331,18.622153363231224
54.0,5.0,17.0,4349.0,2.0,121.0,4.0,56.0,4.3574777617524685,4.02535169073515,16.1014067629406
175.0,6.0,31.0,555.0,2.0,121.0,3.9,54.0,2.71336936257981,3.9889840465642745,15.55703778160067
158.0,10.0,28.0,2331.0,1.0,121.0,4.2,117.0,3.466048353981772,4.762173934797756,20.00113052615058
39.0,20.0,32.0,736.0,0.0,130.0,4.0,76.0,2.200552367428894,4.330733340286331,17.322933361145324
158.0,10.0,30.0,1225.0,1.0,7.0,3.8,63.0,2.0228711901914416,4.143134726391533,15.743911960287823
55.0,10.0,31.0,5570.0,3.0,21.0,3.6,298.0,1.9878743481543453,5.697093486505405,20.50953655141946
199.0,20.0,29.0,3280.0,0.0,16.0,4.0,2208.0,3.090587804566669,7.699842407396986,30.799369629587943
74.0,5.0,31.0,2720.0,1.0,121.0,3.8,47.0,2.3832429960115,3.8501476017100575,14.630560886498222
33.0,10.0,27.0,156.0,0.0,121.0,4.4,145.0,4.3105306329688124,4.976733742420574,21.897628466650527
126.0,1.0,27.0,6472.0,1.0,16.0,4.2,246.0,4.82647204242293,5.5053315359323625,23.122392450915925
158.0,5.0,29.0,4286.0,3.0,121.0,4.0,106.0,3.547315889792149,4.663439094112067,18.653756376448268
130.0,1.0,30.0,3815.0,2.0,107.0,3.4,124.0,2.532902848056256,4.820281565605037,16.388957323057127
187.0,5.0,27.0,1695.0,0.0,121.0,3.9,103.0,3.373826184866024,4.634728988229636,18.07544305409558
178.0,18.0,30.0,536.0,0.0,113.0,3.7,113.0,2.565718292524414,4.727387818712341,17.491334929235663
158.0,10.0,30.0,2895.0,3.0,102.0,3.7,59.0,2.478217661637204,4.07753744390572,15.086888542451163
72.0,5.0,31.0,2746.0,2.0,121.0,3.6,41.0,2.1424163408412245,3.713572066704308,13.368859440135507
222.0,10.0,27.0,127.0,0.0,121.0,3.7,1092.0,2.658859956911438,6.99576615630485,25.884334778327943
26.0,18.0,28.0,6270.0,0.0,121.0,4.2,161.0,3.729781445434362,5.081404364984462,21.341898332934743
34.0,2.0,28.0,6828.0,1.0,9.0,3.6,176.0,2.183801557004079,5.170483995038151,18.613742382137342
209.0,10.0,29.0,3213.0,0.0,110.0,3.6,36.0,2.465553921272185,3.58351893845611,12.900668178441997
178.0,18.0,26.0,1180.0,3.0,91.0,3.9,564.0,2.5779415157551897,6.335054251498058,24.706711580842427
149.0,20.0,31.0,5972.0,0.0,13.0,4.1,47.0,3.466672963621067,3.8501476017100575,15.78560516701124
169.0,5.0,25.0,1732.0,0.0,78.0,4.3,47.0,4.465448242812953,3.8501476017100575,16.55563468735325
170.0,10.0,30.0,2290.0,0.0,81.0,4.0,519.0,2.135349173618132,6.251903883165888,25.007615532663557
29.0,10.0,28.0,5244.0,1.0,121.0,4.1,419.0,4.0163830207523885,6.037870919922137,24.75527077168076
133.0,0.0,27.0,46.0,1.0,48.0,3.9,3098.0,2.9439125248241944,8.038512020976814,31.350196881809573
133.0,0.0,32.0,2914.0,0.0,16.0,3.8,122.0,2.9439125248241944,4.804021044733257,18.255279969986372
238.0,17.0,33.0,3078.0,0.0,121.0,3.5,422.0,2.1949998823141086,6.045005314036012,21.157518599126043
133.0,0.0,31.0,6335.0,0.0,48.0,3.6,3885.0,2.1564025828159643,8.264878262801748,29.75356174608629
59.0,5.0,32.0,4418.0,0.0,121.0,3.7,110.0,3.177637076851603,4.700480365792417,17.39177735343194
48.0,18.0,30.0,2470.0,1.0,121.0,3.7,37.0,2.425687290128029,3.610917912644224,13.36039627678363
39.0,20.0,29.0,527.0,0.0,16.0,3.8,6228.0,2.196112848483529,8.73681053295389,33.19988002522478
25.0,18.0,29.0,5220.0,3.0,121.0,3.5,980.0,2.2502386126218363,6.887552571664617,24.10643400082616
