name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Epicuro Appassimento 2017,Puglia,Italy,2017,Epicuro,Rose,Unknown,10.74,4.1,,2.3739750890807185,7
Domaines Astruc Merlot 2015,Pays Doc,France,2015,Domaines Astruc,White,Merlot,6.46,3.2,,1.8656293177945105,9
Martin Codax Ergo Tempranillo Rioja 2018,Rioja,Spain,2018,Martin Codax,Red,Tempranillo,11.99,3.6,,2.484072969039423,6
Jean Stodden Spatburgunder 2017,Ahr,Germany,2017,Jean Stodden,Sparkling,Unknown,13.45,3.5,,2.598979106047848,7
Chateau Darmailhac Pauillac Grand Cru Classe 2015,Pauillac,France,2015,Chateau Darmailhac,Sparkling,Unknown,86.68,4.0,,4.462223176668158,9
Masseria Altemura Petravia Puglia 2016,Puglia,Italy,2016,Masseria Altemura,Sparkling,Unknown,11.83,3.8,,2.470638677990296,8
Deloach Russian River Valley Zinfandel 2015,Russian River Valley,United States,2015,Deloach,Red,Zinfandel,20.0,3.4,,2.995732273553991,9
Chateau Du Glana Saintjulien 2012,Saintjulien,France,2012,Chateau Du Glana,Sparkling,Unknown,26.53,3.9,,3.2782761681496484,12
Montes Alpha Merlot 2015,Colchagua Valley,Chile,2015,Montes Alpha,White,Merlot,17.46,3.8,,2.8599125504114564,9
Chateau Grandpuy Ducasse Pauillac Grand Cru Classe 2016,Pauillac,France,2016,Chateau Grandpuy Ducasse,White,Unknown,80.61,3.8,,4.389622711295509,8
Morgante Nero Davola 2018,Sicilia,Italy,2018,Morgante,Red,Nero Davola,17.99,3.9,,2.8898160479624413,6
La Lecciaia Brunello Di Montalcino 2016,Other,Italy,2016,La Lecciaia,Red,Sangiovese,34.49,4.9,,3.54066942694875,8
Baron Philippe De Rothschild Les Cepages Cabernet Sauvignon 2017,Pays Doc,France,2017,Baron Philippe De Rothschild,Red,Cabernet Sauvignon,9.53,3.3,,2.254444717666111,7
Joseph Drouhin Morgon Hospice De Belleville 2017,Morgon,France,2017,Joseph Drouhin,Red,Unknown,14.5,3.6,,2.6741486494265287,7
Altos Ibericos Crianza 2015,Rioja,Spain,2015,Altos Ibericos,Sparkling,Unknown,30.27,3.8,,3.410157123033627,9
Churchills Estates Douro 2016,Douro,Portugal,2016,Churchills,Red,Unknown,16.57,3.8,,2.807593831438472,8
Alexander Valley Vineyards Estate Merlot 2015,Alexander Valley,United States,2015,Alexander Valley Vineyards,Red,Merlot,17.99,3.7,,2.8898160479624413,9
Chateau Belairmonange Haut Roc Blanquant Saintemilion Grand Cru 2014,Saintemilion Grand Cru,France,2014,Chateau Belairmonange,White,Unknown,40.19,3.9,,3.6936182084611096,10
Vinoletto Garnacha Seco 2018,La Mancha,Spain,2018,Vinoletto,Red,Unknown,4.2,3.4,,1.4350845252893227,6
Baglio Di Pianetto Agnus 2011,Terre Siciliane,Italy,2011,Baglio Di Pianetto,Rose,Unknown,59.67,4.2,,4.088829381533991,13
Conte Di Campiano Sangiovese Del Conte 2018,Other,Italy,2018,Conte Di Campiano,Sparkling,Sangiovese,5.97,3.7,,1.786746927404511,6
Plaimont Heritage Saintmont Rouge 2016,Other,France,2016,Plaimont,Sparkling,Unknown,7.43,3.6,,2.005525858729668,8
Francis Ford Coppola Winery Rosso Bianco Rosso 2012,California,United States,2012,Francis Ford Coppola Winery,Red,Unknown,10.99,3.5,,2.3969857684155302,12
Ornellaia Bolgheri Superiore 2017,Bolgheri Superiore,Italy,2017,Ornellaia,Sparkling,Unknown,208.32,4.6,,5.339075359020204,7
Susana Balbo Nosotros Single Vineyard Nomade Malbec 2018,unknown,Argentina,2018,Susana Balbo,Red,Malbec,98.57,4.8,,4.590766955677348,6
Livio Felluga Vertigo 2018,Delle Venezie,Italy,2018,Livio Felluga,Red,Unknown,25.99,3.8,,3.2577118486533987,6
Domaine Bousquet Reserve Malbec 2018,Tupungato,Argentina,2018,Domaine Bousquet,White,Malbec,12.43,3.9,,2.52011290552262,6
Easton Cooper Ranch Barbera 2011,Other,United States,2011,Easton,Red,Barbera,26.13,4.2,,3.263084079532521,13
Finca El Origen Gran Reserva Malbec 2017,Other,Argentina,2017,Finca El Origen,Red,Malbec,26.99,3.9,,3.295466427029913,7
Firriato Chiaramonte Nero Davola 2017,Terre Siciliane,Italy,2017,Firriato,Sparkling,Nero Davola,9.21,3.7,,2.2202898502672155,7
Risky Grapes La Traca Bobal 2019,Valencia,Spain,2019,Risky Grapes,Red,Bobal,6.91,3.5,,1.9329696377795784,5
Chateau Daussieres Blason Daussieres Corbieres 2015,Corbieres,France,2015,Chateau Daussieres,White,Unknown,27.02,3.8,,3.2965773325320527,9
Resonance Resonance Pinot Noir 2015,Willamette Valley,United States,2015,Resonance,Rose,Pinot Noir,54.61,4.0,,4.000217016164062,9
Chateau Du Cedre Cahors 2016,Cahors,France,2016,Chateau Du Cedre,Red,Unknown,26.99,3.8,,3.295466427029913,8
De Moya Maria 2016,Valencia,Spain,2016,De Moya,Red,Unknown,11.83,4.0,,2.470638677990296,8
Chateau Leboscq Medoc 2014,Medoc,France,2014,Chateau Leboscq,Sparkling,Unknown,15.6,3.6,,2.747270914255491,10
Twomey Merlot 2014,Napa Valley,United States,2014,Twomey,Rose,Merlot,92.28,3.9,,4.524827433305553,10
