name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price (£),Average Rating,ABV,Log Price,Age
14 Hands Cabernet Sauvignon 2015,Columbia Valley,United States,2015,14 Hands,Red,Cabernet Sauvignon,9.71,3.6,,2.273156282303234,9
14 Hands Merlot 2016,Columbia Valley,United States,2016,14 Hands,Red,Merlot,11.3,3.8,,2.424802725718295,8
19 Crimes Red Blend 2018,Victoria,Australia,2018,19 Crimes,Red,Red Blend,7.94,3.9,,2.0719132752590443,6
19 Crimes Red Blend 2020,unknown,Australia,2020,19 Crimes,Red,Other Red Blends,8.21,3.9,,2.105352923464337,4
19 Crimes Snoop Cali Rose 2020,California,United States,2020,19 Crimes,Rose,Rose,11.49,3.9,10.5,2.4414770918606643,4
19 Crimes The Banished Dark Red 2018,South Eastern Australia,Australia,2018,19 Crimes,Red,Unknown,9.62,4.0,,2.263844264677615,6
19 Crimes The Uprising Red 2019,South Eastern Australia,Australia,2019,19 Crimes,Red,Unknown,9.95,4.0,,2.2975725511705014,5
689 Six Eight Nine Devils Candy Red Blend 2017,Napa Valley,United States,2017,689 Six Eight Nine,Red,Red Blend,32.23,4.4,,3.4728976958273465,7
689 Six Eight Nine Red 2017,Napa Valley,United States,2017,689 Six Eight Nine,Red,Unknown,17.14,4.1,,2.841414913169634,7
A Christmann Spatburgunder 2015,Pfalz,Germany,2015,A Christmann,Red,Unknown,14.19,3.7,,2.6525374911719517,9
A Mano Primitivo 2017,Puglia,Italy,2017,A Mano,Red,Primitivo,6.61,3.4,,1.888583653863595,7
A6Mani Familiae Primitivo Di Manduria 2017,Primitivo Di Manduria,Italy,2017,A6Mani,Red,Primitivo,7.87,3.8,,2.063058062429312,7
A6Mani Lifili Primitivo Salento 2018,Salento,Italy,2018,A6Mani,Red,Primitivo,4.94,3.7,,1.5973653311998313,6
Abadal 39 2016,Pla De Bages,Spain,2016,Abadal,Red,Unknown,14.28,4.1,,2.658859956911438,8
Abadal 5 Merlot 2016,Pla De Bages,Spain,2016,Abadal,Red,Merlot,10.8,3.9,,2.379546134130174,8
Abadal Franc 2020,Pla De Bages,Spain,2020,Abadal,Red,Unknown,6.54,3.5,,1.8779371654691075,4
Abadia Retuerta Pago Negralada Tempranillo 2012,Castilla Y Leon,Spain,2012,Abadia Retuerta,Red,Tempranillo,56.31,4.2,,4.030872139266528,12
Abadia Retuerta Pago Negralada Tempranillo 2015,unknown,Spain,2015,Abadia Retuerta,Red,Tempranillo,78.03,0.0,,4.35709336812867,9
Abadia Retuerta Syrah Pago Garduna 2014,Castilla Y Leon,Spain,2014,Abadia Retuerta,Red,Syrah,61.21,4.2,,4.114310574862978,10
Achavalferrer Malbec 2014,Mendoza,Argentina,2014,Achavalferrer,Red,Malbec,14.65,3.9,,2.6844403354630764,10
Achavalferrer Quimera 2013,Mendoza,Argentina,2013,Achavalferrer,Red,Unknown,27.21,4.2,,3.303584552795155,11
Acustic Celler Plaer Vinyes Velles 2016,Priorat,Spain,2016,Acustic Celler,Red,Unknown,21.92,4.1,,3.087399462079815,8
Acustic Celler Ritme Vinyes Velles Boniques 2017,Priorat,Spain,2017,Acustic Celler,Red,Unknown,15.06,4.0,,2.7120422223717475,7
Adams Kaliber 12 Spatburgunder 2016,Rheinhessen,Germany,2016,Adams,Red,Unknown,9.21,3.5,,2.2202898502672155,8
Adega Ponte Da Boga Mencia 2019,Unknown,Spain,2019,Adega Ponte Da Boga,Red,Mencia,7.45,3.3,,2.008214032391468,5
Agronavarra Pleno Tempranillo 2018,Navarra,Spain,2018,Agronavarra,Red,Tempranillo,3.61,3.5,,1.2837077723447894,6
Aia Vecchia Lagone Toscana 2017,Toscana,Italy,2017,Aia Vecchia,Red,Unknown,8.89,3.7,,2.1849270495258133,7
Alain Chabanon Lesprit De Font Caude Montpeyroux 2014,Unknown,France,2014,Alain Chabanon,Red,Unknown,25.03,4.3,,3.2200751054436827,10
Alain Jaume Domaine Grand Veneur Chateauneufdupape Les Origines 2015,Chateauneufdupape,France,2015,Alain Jaume,Red,Unknown,44.81,3.9,,3.802431328798052,9
Alain Jaume Rasteau Les Valats 2016,Rasteau,France,2016,Alain Jaume,Red,Unknown,11.34,3.8,,2.428336298299606,8
Alain Voge Les Vieilles Vignes Cornas 2014,Cornas,France,2014,Alain Voge,Red,Unknown,48.56,4.1,,3.8828001467512423,10
Albola Chianti Classico 2016,Chianti Classico,Italy,2016,Albola,Red,Chianti,9.96,3.8,,2.2985770715965077,8
Alcorta Audaz Crianza 2017,Rioja,Spain,2017,Alcorta,Red,Unknown,4.91,3.3,,1.5912739418064292,7
Aldeya Garnacha 2018,Carinena,Spain,2018,Aldeya,Red,Garnacha,6.16,3.7,,1.8180767775454283,6
Aldo Conterno Barolo Bussia 2015,Barolo,Italy,2015,Aldo Conterno,Red,Barolo,55.14,4.0,,4.009875405595651,9
Aldo Conterno Barolo Bussia Cicala 2015,Barolo,Italy,2015,Aldo Conterno,Red,Barolo,108.01,4.4,,4.682223815430383,9
Aldo Conterno Barolo Bussia Colonnello 2013,Barolo,Italy,2013,Aldo Conterno,Red,Barolo,109.63,4.4,,4.697111059686448,11
Aldo Rainoldi Inferno Riserva Valtellina Superiore 2013,Valtellina Superiore,Italy,2013,Aldo Rainoldi,Red,Unknown,21.84,3.9,,3.083743150876704,11
Aldo Rainoldi Prugnolo Valtellina Superiore 2015,Valtellina Superiore,Italy,2015,Aldo Rainoldi,Red,Unknown,13.72,3.8,,2.61885462229774,9
Aldo Rainoldi Sassella Valtellina Superiore 2009,Valtellina Superiore,Italy,2009,Aldo Rainoldi,Red,Unknown,10.47,3.5,,2.3485140248824456,15
Alfredo Maestro Almate 2019,Castilla Y Leon,Spain,2019,Alfredo Maestro,Red,Unknown,6.62,3.6,,1.890095369948917,5
Algueira Mencia 2011,Unknown,Spain,2011,Algueira,Red,Mencia,11.18,3.8,,2.414126467726953,13
Alira Concordia Feteasca Neagra Merlot 2013,Unknown,Romania,2013,Alira,Red,Merlot,9.96,3.6,,2.2985770715965077,11
Allee Bleue Starlette Pinotage 2017,Franschhoek,South Africa,2017,Allee Bleue,Red,Pinotage,8.79,3.4,,2.173614711697085,7
Allegranza Single Vineyard Tempranillo 2018,La Mancha,Spain,2018,Allegranza,Red,Tempranillo,4.79,3.3,,1.566530411422824,6
Allegrini Amarone Della Valpolicella Classico 2015,Amarone Della Valpolicella Classico,Italy,2015,Allegrini,Red,Unknown,42.44,4.3,,3.7480913137457823,9
Allegrini Belpasso Rosso 2016,Veneto,Italy,2016,Allegrini,Red,Unknown,8.29,3.8,,2.115049969147204,8
Allegrini La Grola 2014,Verona,Italy,2014,Allegrini,Red,Unknown,15.42,3.9,,2.735665368135184,10
Allegrini La Poja Monovitigno Corvina Veronese 2012,Verona,Italy,2012,Allegrini,Red,Corvina,52.66,4.2,,3.9638561540681634,12
Allegrini La Poja Monovitigno Corvina Veronese 2013,Verona,Italy,2013,Allegrini,Red,Corvina,51.41,4.2,,3.939832706067413,11
Allegrini Palazzo Della Torre 2014,Verona,Italy,2014,Allegrini,Red,Unknown,14.15,4.0,,2.649714624089247,10
Allegrini Palazzo Della Torre 2018,Veneto,Italy,2018,Allegrini,Red,Other Red Blends,15.6,4.0,13.68,2.747270914255491,6
Allegrini Valpolicella 2019,Valpolicella,Italy,2019,Allegrini,Red,Unknown,8.78,3.6,,2.172476407647025,5
Allegrini Valpolicella Superiore 2014,Valpolicella,Italy,2014,Allegrini,Red,Unknown,11.02,3.7,,2.3997118037247684,10
Allendorf Assmannshauser Hollenberg Spatburgunder Trocken 2016,Rheingau,Germany,2016,Allendorf,Red,Unknown,26.4,3.0,,3.2733640101522705,8
Allesverloren 1704 Red Tinta Barocca Shiraz 2015,Swartland,South Africa,2015,Allesverloren,Red,Shiraz,9.13,3.4,,2.211565694606877,9
Allesverloren Tinta Barocca 2016,Swartland,South Africa,2016,Allesverloren,Red,Unknown,11.96,3.7,,2.481567748522486,8
Allesverloren Tinta Barocca 2017,Swartland,South Africa,2017,Allesverloren,Red,Unknown,8.82,3.7,,2.1770218700187,7
Almaviva Almaviva 2017,Unknown,Chile,2017,Almaviva,Red,Unknown,145.36,4.6,,4.979213424087916,7
Almaviva Epu 2016,Unknown,Chile,2016,Almaviva,Red,Unknown,38.8,4.5,,3.658420246629228,8
Alois Lageder Lagrein 2017,Sudtirol Alto Adige,Italy,2017,Alois Lageder,Red,Lagrein,11.22,3.6,,2.4176979000945504,7
Alois Lageder Merlot 2016,Sudtirol Alto Adige,Italy,2016,Alois Lageder,Red,Merlot,9.96,3.6,,2.2985770715965077,8
Alpasion Private Selection 2013,Uco Valley,Argentina,2013,Alpasion,Red,Unknown,30.97,4.3,,3.4330189939851112,11
Alpha Domus The Navigator 2014,Hawkes Bay,New Zealand,2014,Alpha Domus,Red,Unknown,15.49,3.8,,2.7401946544287776,10
Alta Alella Gx 2019,Unknown,Spain,2019,Alta Alella,Red,Unknown,6.57,3.7,,1.8825138324965192,5
Alta Alella Gx 2020,Unknown,Spain,2020,Alta Alella,Red,Unknown,6.57,3.7,,1.8825138324965192,4
Alta Alella Parvus Syrah 2018,Unknown,Spain,2018,Alta Alella,Red,Unknown,10.57,3.8,,2.3580197998821464,6
Alta Vista Alto 2013,Mendoza,Argentina,2013,Alta Vista,Red,Unknown,45.21,4.3,,3.8113183013065135,11
Altesino Brunello Di Montalcino 2015,Brunello Di Montalcino,Italy,2015,Altesino,Red,Unknown,32.27,4.3,,3.4741380060638707,9
Altesino Brunello Di Montalcino Montosoli 2013,Brunello Di Montalcino,Italy,2013,Altesino,Red,Unknown,53.51,4.4,,3.979868552323213,11
Altesino Brunello Di Montalcino Montosoli 2014,Brunello Di Montalcino,Italy,2014,Altesino,Red,Unknown,57.47,4.4,,4.05126307251965,10
Altesino Brunello Di Montalcino Montosoli 2015,Brunello Di Montalcino,Italy,2015,Altesino,Red,Unknown,66.93,4.4,,4.203647297112551,9
Altesino Brunello Di Montalcino Riserva 2010,Brunello Di Montalcino,Italy,2010,Altesino,Red,Unknown,66.55,4.4,,4.19795354484112,14
Altesino Rosso Di Montalcino 2015,Rosso Di Montalcino,Italy,2015,Altesino,Red,Unknown,13.35,3.7,,2.5915163848462583,9
Altesino Rosso Di Montalcino 2017,Rosso Di Montalcino,Italy,2017,Altesino,Red,Unknown,13.35,3.9,,2.5915163848462583,7
Altesino Toscana Rosso 2015,Toscana,Italy,2015,Altesino,Red,Unknown,9.21,3.7,,2.2202898502672155,9
Alto Estate Rouge 2016,Stellenbosch,South Africa,2016,Alto Estate,Red,Unknown,7.95,3.7,,2.0731719286662407,8
Alto Estate Rouge 2017,Stellenbosch,South Africa,2017,Alto Estate,Red,Unknown,12.14,3.7,,2.4965057856313524,7
Alto Moncayo Veraton Garnacha 2016,Campo De Borja,Spain,2016,Alto Moncayo,Red,Garnacha,22.03,4.3,,3.092405160814252,8
Altos De Rioja Altos R Tempranillo 2017,Rioja,Spain,2017,Altos De Rioja,Red,Tempranillo,5.78,3.4,,1.754403682684286,7
Altos Ibericos Parcelas De Graciano 2015,Rioja,Spain,2015,Altos Ibericos,Red,Unknown,9.74,3.6,,2.276241117654444,9
Altosur Cabernet Sauvignon 2015,Tupungato,Argentina,2015,Altosur,Red,Cabernet Sauvignon,7.11,3.5,,1.9615022438151493,9
Alvaro Palacios Camins Del Priorat 2018,Priorat,Spain,2018,Alvaro Palacios,Red,Unknown,14.15,4.0,,2.649714624089247,6
Alvaro Palacios Finca Dofi 1997,Priorat,Spain,1997,Alvaro Palacios,Red,Unknown,55.92,4.3,,4.0239220979255546,27
Alvaro Palacios Finca Dofi 2017,Priorat,Spain,2017,Alvaro Palacios,Red,Unknown,58.56,4.4,,4.0700518696530565,7
Alvaro Palacios Lermita Velles Vinyes Priorat 2006,Priorat,Spain,2006,Alvaro Palacios,Red,Unknown,485.57,4.6,,6.185323458594699,18
Alvaro Palacios Lermita Velles Vinyes Priorat 2008,Priorat,Spain,2008,Alvaro Palacios,Red,Unknown,563.1,4.8,,6.333457232260573,16
Alvaro Palacios Les Terrasses Velles Vinyes Priorat 2017,Priorat,Spain,2017,Alvaro Palacios,Red,Unknown,24.45,4.2,,3.196630215920881,7
Alvaro Palacios Vi De Vila Gratallops 2014,Priorat,Spain,2014,Alvaro Palacios,Red,Unknown,35.91,4.2,,3.5810158082379915,10
Amastuola Lamarossa Primitivo 2015,Puglia,Italy,2015,Amastuola,Red,Primitivo,11.68,4.0,,2.457877977400081,9
Amiel A Coural 2018,Languedoc,France,2018,Amiel,Red,Unknown,8.87,3.8,,2.1826747963214883,6
Ampeleia Kepos 2010,Unknown,Italy,2010,Ampeleia,Red,Unknown,12.2,3.8,,2.501435951739211,14
Ampeleia Kepos 2016,Unknown,Italy,2016,Ampeleia,Red,Unknown,12.93,3.8,,2.559550192783766,8
Anarkos Puglia Rosso Accademia Dei Racemi 2017,Puglia,Italy,2017,Anarkos,Red,Unknown,5.44,3.8,,1.6937790608678511,7
Anciens Temps Cabernet Sauvignon Syrah 2018,Pays Doc,France,2018,Anciens Temps,Red,Cabernet Sauvignon,4.77,3.6,,1.5623463049002495,6
Andeluna 1300 Malbec 2018,Tupungato,Argentina,2018,Andeluna,Red,Malbec,6.45,3.7,,1.864080130807681,6
Andeluna 1300 Merlot 2015,Tupungato,Argentina,2015,Andeluna,Red,Merlot,8.11,3.4,,2.0930978681273213,9
Andeluna Altitud Cabernet Sauvignon 2014,Tupungato,Argentina,2014,Andeluna,Red,Cabernet Sauvignon,11.1,3.8,,2.4069451083182885,10
Andeluna Pasionado Cabernet Franc 2012,Tupungato,Argentina,2012,Andeluna,Red,Cabernet Franc,36.64,4.1,,3.6011405398059297,12
Anderra Cabernet Sauvignon 2016,Central Valley,Chile,2016,Anderra,Red,Cabernet Sauvignon,6.09,3.2,,1.8066480817218056,8
Anderra Cabernet Sauvignon 2017,Central Valley,Chile,2017,Anderra,Red,Cabernet Sauvignon,5.78,2.9,,1.754403682684286,7
Anderra Carmenere 2018,Central Valley,Chile,2018,Anderra,Red,Carmenere,6.13,3.5,,1.81319474994812,6
Andre Brunel Les Cailloux Cuvee Centenaire Chateauneufdupape 2000,Chateauneufdupape,France,2000,Andre Brunel,Red,Unknown,57.77,4.4,,4.056469609793174,24
Andre Brunel Les Cailloux Cuvee Centenaire Chateauneufdupape 2003,Chateauneufdupape,France,2003,Andre Brunel,Red,Unknown,57.77,3.8,,4.056469609793174,21
Andres Diaz Dorio Garnacha Cepas Viejas 2018,Madrid,Spain,2018,Andres Diaz,Red,Unknown,5.81,3.6,,1.75958057086382,6
Andrew Murray Tous Les Jours Syrah 2018,Unknown,United States,2018,W Murray Tous Les Jours,Red,Syrahshiraz,21.35,3.8,14.5,3.061051739674633,6
Andrian Rubeno Lagrein 2018,Sudtirol Alto Adige,Italy,2018,Andrian,Red,Lagrein,9.63,3.8,,2.2648832258100344,6
Angove Chalk Hill Blue Shiraz Cabernet 2016,South Australia,Australia,2016,Angove,Red,Shiraz,6.45,3.3,,1.864080130807681,8
Anita Nittnaus Hans Blauer Zweigelt 2017,Burgenland,Austria,2017,Anita Nittnaus Hans,Red,Zweigelt,7.28,3.6,,1.9851308622085944,7
Anita Nittnaus Hans Kalk Und Schiefer Blaufrankisch 2018,Burgenland,Austria,2018,Anita Nittnaus Hans,Red,Blaufrankisch,10.62,4.1,,2.3627390158137924,6
Antano Rioja Reserva 2013,Rioja,Spain,2013,Antano,Red,Rioja,8.36,3.3,,2.12345842709661,11
Antares Cabernet Sauvignon 2018,Central Valley,Chile,2018,Antares,Red,Cabernet Sauvignon,3.99,3.3,,1.383791230901772,6
Antares Carmenere 2019,Central Valley,Chile,2019,Antares,Red,Carmenere,4.64,3.2,,1.534714366238164,5
Anthonij Rupert Cabernet Franc 2012,Franschhoek,South Africa,2012,Anthonij Rupert,Red,Cabernet Franc,50.19,4.2,,3.915815803666842,12
Anthonij Rupert Cabernet Sauvignon 2012,Franschhoek,South Africa,2012,Anthonij Rupert,Red,Cabernet Sauvignon,50.19,4.3,,3.915815803666842,12
Anthonij Rupert Optima 2014,Franschhoek,South Africa,2014,Anthonij Rupert,Red,Unknown,19.25,4.2,,2.9575110607337933,10
Anthonij Rupert Syrah 2013,Franschhoek,South Africa,2013,Anthonij Rupert,Red,Syrah,50.19,4.1,,3.915815803666842,11
Antiche Terre Venete Valpolicella Ripasso Superiore 2017,Valpolicella Ripasso,Italy,2017,Antiche Terre Venete,Red,Unknown,8.55,3.8,,2.145931282948669,7
Antichi Poderi Jerzu Cannonau Di Sardegna 2018,Cannonau Di Sardegna,Italy,2018,Antichi Poderi Jerzu,Red,Unknown,6.61,3.3,,1.888583653863595,6
Antichi Vinai Koine Etna Rosso 2012,Etna,Italy,2012,Antichi Vinai,Red,Unknown,17.82,3.8,,2.880321422042663,12
Antico Monastero Barbaresco 2013,Barbaresco,Italy,2013,Antico Monastero,Red,Unknown,16.16,3.8,,2.782539053092949,11
Antinori Peppoli Chianti Classico 2018,Chianti Classico,Italy,2018,Antinori,Red,Chianti,11.25,3.8,,2.4203681286504293,6
Antinori Pian Delle Vigne Brunello Di Montalcino 2014,Brunello Di Montalcino,Italy,2014,Antinori,Red,Unknown,38.18,4.3,,3.6423118182976015,10
Antinori Pian Delle Vigne Vignaferrovia Brunello Di Montalcino Riserva 2013,Brunello Di Montalcino,Italy,2013,Antinori,Red,Unknown,108.0,4.4,,4.68213122712422,11
Antinori Tenuta Guado Al Tasso Bolgheri Superiore 2017,Bolgheri Superiore,Italy,2017,Antinori,Red,Unknown,104.65,4.7,,4.650621448892009,7
Antinori Tenuta Guado Al Tasso Contugo Bolgheri 2017,Bolgheri,Italy,2017,Antinori,Red,Unknown,28.48,4.2,,3.3492020865437757,7
Antinori Tenuta Tignanello Marchese Antinori Chianti Classico Riserva 2016,Chianti Classico,Italy,2016,Antinori,Red,Chianti,29.21,4.3,,3.37451111639965,8
Antinori Tenuta Tignanello Solaia 2016,Toscana,Italy,2016,Antinori,Red,Unknown,283.41,4.6,,5.646894612449152,8
Antinori Tignanello 1989,Toscana,Italy,1989,Antinori,Red,Unknown,774.47,4.5,,6.652178924439189,35
Antinori Tignanello 1997,Toscana,Italy,1997,Antinori,Red,Unknown,480.67,4.5,,6.175180963965499,27
Antinori Tignanello 2016,Toscana,Italy,2016,Antinori,Red,Unknown,91.25,4.6,,4.513602992462601,8
Antinori Villa Antinori Chianti Classico Riserva 2016,Chianti Classico,Italy,2016,Antinori,Red,Chianti,27.59,4.1,,3.317453388229195,8
Antiyal Pura Fe Carmenere 2016,Maipo Valley,Chile,2016,Antiyal,Red,Carmenere,14.19,3.8,,2.6525374911719517,8
Anton Bauer Zweigelt 2017,Unknown,Austria,2017,Anton Bauer,Red,Zweigelt,7.96,3.8,,2.074428999856292,7
Antonella Corda Cannonau Di Sardegna 2018,Cannonau Di Sardegna,Italy,2018,Antonella Corda,Red,Unknown,13.78,4.0,,2.6232182655855127,6
Antonelli San Marco Sagrantino Montefalco Chiusa Di Pannone 2011,Montefalco,Italy,2011,Antonelli San Marco,Red,Sagrantino,36.84,4.2,,3.6065842113871054,13
Antonin Rodet Beaujolaisvillages 2018,Beaujolaisvillages,France,2018,Antonin Rodet,Red,Unknown,8.94,3.5,,2.190535589185423,6
Antonio Mas Nucleo Malbec 2014,Uco Valley,Argentina,2014,Antonio Mas,Red,Malbec,8.33,3.8,,2.1198634561787517,10
Anubis Malbec 2018,Mendoza,Argentina,2018,Anubis,Red,Malbec,8.36,3.7,,2.12345842709661,6
Anura Legato Merlot Cabernet Sauvignon 2017,Stellenbosch,South Africa,2017,Anura,Red,Cabernet Sauvignon,9.71,3.8,,2.273156282303234,7
Anura Limited Release Syrah 2012,Stellenbosch,South Africa,2012,Anura,Red,Syrah,16.16,3.7,,2.782539053092949,12
Anura Pinotage 2016,Stellenbosch,South Africa,2016,Anura,Red,Pinotage,10.55,3.8,,2.356125859922076,8
